Risk_ID,Risk_Statement,Asset/Process,Threat,Vulnerability,Impact(1-5),Likelihood(1-5),Inherent_Score,Existing_Controls,Residual_Likelihood(1-5),Residual_Impact(1-5),Residual_Score,Treatment,Owner,Due_Date,Status,Evidence_Link
R-001,OTP setup endpoint exposes reusable secret (setup disclosure risk),Authentication (MFA),Attacker/insider,otp_secret returned in setup response (demo shortcut),5,2,10,OTP secret stored encrypted at rest (Fernet); hygiene rules,2,4,8,Mitigate,Badr Karim,2026-03-15,Planned,Findings F-001 + MAP item
R-002,Hard-coded demo credentials could be reused or leak,Demo/Seed process,External attacker,Credentials embedded in docs/seed scripts,4,3,12,Hygiene check; demo labeling,2,3,6,Mitigate,Badr Karim,2026-03-15,Planned,Findings F-002 + MAP item
R-003,Verbose error tracebacks stored may leak sensitive information,Logging/Monitoring,Attacker/insider,Full traceback stored in query_runs.error_message,4,3,12,Access controls on meta DB; sanitized client errors,2,3,6,Mitigate,Badr Karim,2026-04-01,Planned,Findings F-003 + MAP item
R-004,RBAC misconfiguration could allow excess access to targets/templates,Authorization,Insider/misconfig,Incorrect role_targets/role_templates grants; lack of formal access review evidence,5,3,15,RBAC enforcement; audit logs; deny-by-default intent,3,4,12,Mitigate,Badr Karim,2026-04-15,Planned,Quarterly access review record + CT-02
R-005,SQL safety controls could be bypassed if validator gaps exist,Query execution,External attacker,Edge-case SQL patterns not blocked; parameter misuse,5,2,10,SELECT-only validator; single-statement enforcement; LIMIT clamp,2,3,6,Mitigate,Badr Karim,2026-04-30,Planned,Blocked query tests + review of sql_safety rules
R-006,SSRF/target abuse could reach internal services if allowlisting gaps exist,Target connectivity,External attacker,Insufficient endpoint validation/allowlisting in target configuration,5,3,15,SSRF safeguards/validation checks; restricted target creation (admin),2,4,8,Mitigate,Badr Karim,2026-04-30,Planned,Blocked target evidence + review target validation
R-007,Secrets mishandling could lead to compromise of JWT/Fernet keys,Secrets management,Attacker/insider,Secrets exposed in env files,logs,or screenshots,5,2,10,Secrets in .env (git-ignored); hygiene checks; redaction standard,2,4,8,Mitigate,Badr Karim,2026-03-31,Planned,Hygiene pass + evidence redaction guide
R-008,Lack of documented monitoring cadence reduces detectability of abuse,Monitoring,Attacker/insider,No recorded weekly log review evidence,4,3,12,Audit logs exist; export scripts exist,2,3,6,Mitigate,Badr Karim,2026-03-15,Planned,Weekly log review checklist evidence
R-009,Integrity snapshots may not detect all changes (scope limitation),Integrity verification,Insider/attacker,Snapshot method may miss data-level changes depending on approach,3,3,9,Snapshot/verify workflow exists,2,3,6,Accept with review,Badr Karim,2026-05-01,Planned,Document limitation + periodic review
R-010,Vendor/supply chain risk via Docker images and dependencies,Supply chain,External attacker,Vulnerable images/dependencies,4,3,12,Pin versions; periodic review planned; hygiene checks,2,3,6,Mitigate,Badr Karim,2026-04-30,Planned,TPRM pack + dependency review log
